INFO: Waiting for solution ...
INFO: Algorithm took 14.474 seconds.
INFO: Step 001 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 002 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 003 - from (4, 4) to (4, 5) ; cost 1
INFO: Step 004 - from (4, 5) to (2, 5) ; cost 2
INFO: Step 005 - from (2, 5) to (2, 11) ; cost 6
INFO: Step 006 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 007 - from (4, 6) to (0, 6) ; cost 4
INFO: Step 008 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 009 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 010 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 011 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 012 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 013 - from (4, 11) to (4, 2) ; cost 9
INFO: Step 014 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 015 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 016 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 017 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 018 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 019 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 020 - from (7, 6) to (0, 6) ; cost 7
INFO: Step 021 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 022 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 023 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 024 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 025 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 026 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 027 - from (7, 6) to (7, 11) ; cost 5
INFO: Step 028 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 029 - from (6, 11) to (11, 11) ; cost 5
INFO: Step 030 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 031 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 032 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 033 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 034 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 035 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 036 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 037 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 038 - from (7, 3) to (7, 11) ; cost 8
INFO: Step 039 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 040 - from (6, 11) to (10, 11) ; cost 4
INFO: Step 041 - from (10, 8) to (0, 8) ; cost 10
INFO: Step 042 - from (0, 8) to (0, 11) ; cost 3
INFO: Step 043 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 044 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 045 - from (7, 6) to (7, 11) ; cost 5
INFO: Step 046 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 047 - from (6, 11) to (9, 11) ; cost 3
INFO: Step 048 - from (9, 11) to (9, 1) ; cost 10
INFO: Step 049 - from (9, 1) to (5, 1) ; cost 4
INFO: Step 050 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 051 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 052 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 053 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 054 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 055 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 056 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 057 - from (2, 3) to (7, 3) ; cost 5
INFO: Step 058 - from (10, 11) to (6, 11) ; cost 4
INFO: Step 059 - from (6, 11) to (6, 10) ; cost 1
INFO: Step 060 - from (6, 10) to (2, 10) ; cost 4
INFO: Step 061 - from (2, 10) to (2, 11) ; cost 1
INFO: Step 062 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 063 - from (4, 11) to (4, 2) ; cost 9
INFO: Step 064 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 065 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 066 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 067 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 068 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 069 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 070 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 071 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 072 - from (0, 4) to (3, 4) ; cost 3
INFO: Step 073 - from (3, 4) to (3, 11) ; cost 7
INFO: Step 074 - from (3, 11) to (2, 11) ; cost 1
INFO: Step 075 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 076 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 077 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 078 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 079 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 080 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 081 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 082 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 083 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 084 - from (4, 4) to (4, 2) ; cost 2
INFO: Step 085 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 086 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 087 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 088 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 089 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 090 - from (7, 0) to (7, 1) ; cost 1
INFO: Step 091 - from (7, 1) to (5, 1) ; cost 2
INFO: Step 092 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 093 - from (5, 3) to (7, 3) ; cost 2
INFO: Step 094 - from (7, 3) to (7, 11) ; cost 8
INFO: Step 095 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 096 - from (6, 11) to (10, 11) ; cost 4
INFO: Step 097 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 098 - from (10, 11) to (6, 11) ; cost 4
INFO: Step 099 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 100 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 101 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 102 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 103 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 104 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 105 - from (6, 11) to (6, 10) ; cost 1
INFO: Step 106 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 107 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 108 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 109 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 110 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 111 - from (6, 10) to (2, 10) ; cost 4
INFO: Step 112 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 113 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 114 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 115 - from (2, 10) to (11, 10) ; cost 9
INFO: Step 116 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 117 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 118 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 119 - from (8, 0) to (8, 2) ; cost 2
INFO: Step 120 - from (8, 2) to (11, 2) ; cost 3
INFO: Step 121 - from (11, 2) to (11, 4) ; cost 2
INFO: Step 122 - from (11, 4) to (6, 4) ; cost 5
INFO: Step 123 - from (6, 4) to (6, 8) ; cost 4
INFO: Step 124 - from (6, 8) to (0, 8) ; cost 6
INFO: Step 125 - from (0, 8) to (0, 11) ; cost 3
INFO: Step 126 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 127 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 128 - from (7, 6) to (7, 11) ; cost 5
INFO: Step 129 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 130 - from (6, 11) to (10, 11) ; cost 4
INFO: Step 131 - from (10, 11) to (10, 6) ; cost 5
INFO: Step 132 - from (10, 6) to (9, 6) ; cost 1
INFO: Step 133 - from (9, 6) to (9, 11) ; cost 5
INFO: Step 134 - from (9, 11) to (9, 1) ; cost 10
INFO: Step 135 - from (9, 1) to (5, 1) ; cost 4
INFO: Step 136 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 137 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 138 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 139 - from (11, 10) to (11, 6) ; cost 4
INFO: Step 140 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 141 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 142 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 143 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 144 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 145 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 146 - from (11, 6) to (9, 6) ; cost 2
INFO: Step 147 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 148 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 149 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 150 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 151 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 152 - from (9, 6) to (9, 11) ; cost 5
INFO: Step 153 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 154 - from (4, 11) to (4, 2) ; cost 9
INFO: Step 155 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 156 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 157 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 158 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 159 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 160 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 161 - from (9, 11) to (9, 1) ; cost 10
INFO: Step 162 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 163 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 164 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 165 - from (8, 0) to (8, 2) ; cost 2
INFO: Step 166 - from (8, 2) to (11, 2) ; cost 3
INFO: Step 167 - from (9, 1) to (5, 1) ; cost 4
INFO: Step 168 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 169 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 170 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 171 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 172 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 173 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 174 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 175 - from (2, 3) to (7, 3) ; cost 5
INFO: Step 176 - from (7, 3) to (7, 11) ; cost 8
INFO: Step 177 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 178 - from (6, 11) to (10, 11) ; cost 4
INFO: Step 179 - from (10, 11) to (10, 6) ; cost 5
INFO: Step 180 - from (10, 6) to (9, 6) ; cost 1
INFO: Step 181 - from (9, 6) to (9, 11) ; cost 5
INFO: Step 182 - from (11, 2) to (8, 2) ; cost 3
INFO: Step 183 - from (8, 2) to (8, 0) ; cost 2
INFO: Step 184 - from (11, 11) to (10, 11) ; cost 1
INFO: Step 185 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 186 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 187 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 188 - from (4, 4) to (4, 11) ; cost 7
INFO: Step 189 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 190 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 191 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 192 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 193 - from (7, 3) to (7, 11) ; cost 8
INFO: Step 194 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 195 - from (6, 11) to (8, 11) ; cost 2
INFO: Step 196 - from (8, 11) to (8, 7) ; cost 4
INFO: Step 197 - from (8, 7) to (0, 7) ; cost 8
INFO: Step 198 - from (0, 7) to (0, 11) ; cost 4
INFO: Step 199 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 200 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 201 - from (9, 11) to (6, 11) ; cost 3
INFO: Step 202 - from (6, 11) to (6, 10) ; cost 1
INFO: Step 203 - from (6, 10) to (2, 10) ; cost 4
INFO: Step 204 - from (2, 10) to (2, 11) ; cost 1
INFO: Step 205 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 206 - from (4, 11) to (4, 2) ; cost 9
INFO: Step 207 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 208 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 209 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 210 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 211 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 212 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 213 - from (7, 6) to (0, 6) ; cost 7
INFO: Step 214 - from (0, 6) to (0, 11) ; cost 5
INFO: Step 215 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 216 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 217 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 218 - from (0, 11) to (0, 6) ; cost 5
INFO: Step 219 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 220 - from (7, 6) to (7, 11) ; cost 5
INFO: Step 221 - from (7, 11) to (6, 11) ; cost 1
INFO: Step 222 - from (6, 11) to (6, 10) ; cost 1
INFO: Step 223 - from (6, 10) to (2, 10) ; cost 4
INFO: Step 224 - from (2, 10) to (2, 11) ; cost 1
INFO: Step 225 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 226 - from (4, 11) to (4, 2) ; cost 9
INFO: Step 227 - from (4, 2) to (3, 2) ; cost 1
INFO: Step 228 - from (3, 2) to (3, 11) ; cost 9
INFO: Step 229 - from (3, 11) to (3, 0) ; cost 11
INFO: Step 230 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 231 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 232 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 233 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 234 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 235 - from (0, 4) to (3, 4) ; cost 3
INFO: Step 236 - from (3, 4) to (3, 11) ; cost 7
INFO: Step 237 - from (3, 11) to (2, 11) ; cost 1
INFO: Step 238 - from (2, 11) to (4, 11) ; cost 2
INFO: Step 239 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 240 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 241 - from (4, 11) to (2, 11) ; cost 2
INFO: Step 242 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 243 - from (2, 11) to (2, 3) ; cost 8
INFO: Step 244 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 245 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 246 - from (0, 3) to (7, 3) ; cost 7
INFO: Step 247 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 248 - from (0, 4) to (0, 0) ; cost 4
INFO: Step 249 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 250 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 251 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 252 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 253 - from (0, 2) to (1, 2) ; cost 1
INFO: Step 254 - from (0, 3) to (0, 4) ; cost 1
INFO: Step 255 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 256 - from (1, 2) to (0, 2) ; cost 1
INFO: Step 257 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 258 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 259 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 260 - from (0, 4) to (0, 1) ; cost 3
INFO: Step 261 - from (0, 0) to (8, 0) ; cost 8
INFO: Step 262 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 263 - from (8, 0) to (0, 0) ; cost 8
INFO: Step 264 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 265 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 266 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 267 - from (4, 4) to (0, 4) ; cost 4
INFO: Step 268 - from (0, 4) to (0, 2) ; cost 2
INFO: Step 269 - from (0, 1) to (3, 1) ; cost 3
INFO: Step 270 - from (0, 2) to (1, 2) ; cost 1
INFO: Step 271 - from (1, 2) to (1, 4) ; cost 2
INFO: Step 272 - from (1, 4) to (1, 0) ; cost 4
INFO: Step 273 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 274 - from (0, 1) to (0, 4) ; cost 3
INFO: Step 275 - from (0, 4) to (4, 4) ; cost 4
INFO: Step 276 - from (1, 0) to (1, 4) ; cost 4
INFO: Step 277 - from (4, 4) to (2, 4) ; cost 2
